time_h,temperature_C,pH,stage,notes
0,25.0,6.8,1_hydrolysis,Initial conditions — ambient temperature organic substrate
1,31.0,6.5,1_hydrolysis,Aerobic respiration onset — exothermic; pH drop from organic acid generation
2,38.5,6.2,1_hydrolysis,Rapid heating — protease/amylase/cellulase secretion peak
3,44.0,6.0,1_hydrolysis,Approaching thermophilic threshold; H2 generation begins
4,49.5,5.9,1_hydrolysis,Thermophilic phase entry — Tateya-ken strain heat-stable cellulase active (ref: ■酵素カスケード)
5,53.0,6.1,1_hydrolysis,Temperature plateau; lactate generation by LAB begins — pH stabilizing
6,55.0,6.3,1_hydrolysis,Stage 1 complete — polymers solubilized to monomers
7,55.5,6.5,2_fermentation,Lactate production peak — Mn4+ reduction begins (DeepSeek M1: lactate as interface currency)
8,56.0,6.7,2_fermentation,Cross-feeding: lactate -> butyrate producers active
9,55.8,6.9,2_fermentation,H2 flux consumption by methanotrophs and sulfur bacteria — odor suppression confirmed
10,55.5,7.0,2_fermentation,Fe3+ reduction driven by lactate electron donation
11,55.0,7.1,2_fermentation,SCFA pool (acetate/propionate/butyrate) stabilizing
12,54.5,7.1,2_fermentation,Midpoint — decomposition rate >50% estimated
13,54.0,7.2,2_fermentation,pH entering stable range (7.2-7.5 per video observation)
14,53.5,7.2,2_fermentation,Mn/Fe redox cycling sustaining electron flux
15,52.8,7.3,2_fermentation,Aromatic compound degradation by filamentous fungi — quinone shuttle active
16,52.0,7.3,2_fermentation,NH3 generation balanced by nitrification — pH stable
17,51.0,7.3,2_fermentation,Actinomycetes producing humic precursors
18,50.0,7.4,3_stabilization,Stage 2 complete — transition to stabilization
19,48.5,7.4,3_stabilization,Nitrification: NH4+ -> NO2- -> NO3- (IPCC N2O pathway suppressed by MBT55 balance)
20,47.0,7.4,3_stabilization,Sulfur oxidation removing H2S — zero odor maintained
21,45.5,7.5,3_stabilization,Fulvic acid formation by lignin degraders (Gemini M3: fulvic acid as mineral currency)
22,44.0,7.5,3_stabilization,H2 at detection limit — dH2/dt ≈ 0 constraint SATISFIED
23,42.5,7.5,3_stabilization,Humic precursor polymerization — long-term carbon sequestration initiated
24,41.0,7.4,3_stabilization,COMPLETE: 24h humification achieved. pH 7.4 in stable range. Decomposition rate >= 60%.
